
681,1005.0
682,992.0
683,617.0
684,961.0
685,721.0
686,220.0
687,940.0
688,229.0
689,807.0
690,755.0
691,628.0
692,244.0
693,244.0
694,234.0
695,772.0
696,235.0
697,235.0
698,744.0
699,227.0
700,636.0
701,1015.0
702,599.0
703,545.0
704,622.0
705,1268.0
706,246.0
707,1269.0
708,637.0
709,1126.0
710,235.0
711,967.0
712,627.0
713,241.0
714,599.0
715,617.0
716,221.0
717,247.0
718,638.0
719,234.0
720,738.0
721,252.0
722,801.0
723,638.0
724,239.0
725,734.0
726,235.0
727,635.0
728,611.0
729,602.0
730,241.0
731,233.0
732,639.0
733,227.0
734,679.0
735,809.0
736,627.0
737,590.0
738,231.0
739,248.0
740,585.0
741,650.0
742,638.0
743,621.0
744,237.0
745,649.0
746,637.0
747,639.0
748,638.0
749,226.0
750,590.0
751,738.0
752,755.0
753,234.0
754,728.0
755,588.0
756,788.0
757,640.0
758,622.0
759,691.0
760,739.0
761,238.0
762,250.0
763,234.0
764,238.0
765,252.0
766,640.0
767,233.0
768,1258.0
769,1313.0
770,1273.0
771,244.0
772,900.0
773,637.0
774,994.0
775,612.0
776,618.0
777,638.0
778,250.0
779,793.0
780,757.0
781,635.0
782,229.0
783,1820.0
784,767.0
785,750.0
786,690.0
787,667.0
788,620.0
789,237.0
790,635.0
791,234.0
792,797.0
793,615.0
794,646.0
795,603.0
796,944.0
797,234.0
798,579.0
799,239.0
800,230.0
801,613.0
802,809.0
803,802.0
804,636.0
805,812.0
806,631.0
807,240.0
808,230.0
809,611.0
810,772.0
811,749.0
812,247.0
813,243.0
814,586.0
815,232.0
816,245.0
817,632.0
818,237.0
819,237.0
820,224.0
821,246.0
822,814.0
823,636.0
824,601.0
825,600.0
826,712.0
827,573.0
828,589.0
829,1290.0
830,636.0
831,236.0
832,227.0
833,221.0
834,699.0
835,1023.0
836,650.0
837,614.0
838,242.0
839,548.0
840,813.0
841,629.0
842,227.0
843,209.0
844,557.0
845,227.0
846,790.0
847,994.0
848,622.0
849,225.0
850,246.0
851,727.0
852,242.0
853,611.0
854,636.0
855,1012.0
856,240.0
857,787.0
858,249.0
859,245.0
860,995.0
861,248.0
862,1403.0
863,611.0
864,637.0
865,602.0
866,649.0
867,717.0
868,624.0
869,1338.0
870,614.0
871,608.0
872,618.0
873,1307.0
874,629.0
875,1022.0
876,249.0
877,248.0
878,765.0
879,943.0
880,806.0
881,639.0
882,792.0
883,811.0
884,1232.0
885,240.0
886,814.0
887,242.0
888,1024.0
889,248.0
890,249.0
891,1035.0
892,251.0
893,1012.0
894,602.0
895,605.0
896,614.0
897,782.0
898,604.0
899,252.0
900,634.0
901,811.0
902,753.0
